logFC	Gene.symbol	Gene.title
-40471792,00	SFTPC	surfactant protein C
-14553795,00	GHR	growth hormone receptor
-14140075,00	WWC2///CLDN22	WW and C2 domain containing 2///claudin 22
-36867095,00	WIF1	WNT inhibitory factor 1
-13516269,00	AHNAK	AHNAK nucleoprotein
-11718751,00	SYNC	syncoilin
-0,80	GAB2	GRB2 associated binding protein 2
-1220603,00	KANK2	KN motif and ankyrin repeat domains 2
-1804709,00	TSPAN7	tetraspanin 7
-0,84	SPTAN1	spectrin alpha
-0,94	ARRB1	arrestin beta 1
-14308071,00	TGFBR2	transforming growth factor beta receptor 2
-1930672,00	VIPR1	vasoactive intestinal peptide receptor 1
-0,76	ABHD6	abhydrolase domain containing 6
-10433827,00	TRPV2	transient receptor potential cation channel subfamily V member 2
-20550092,00	ANOS1	anosmin 1
-12956365,00	PTRF	polymerase I and transcript release factor
-13018345,00	SYNE3///LINC00341	spectrin repeat containing nuclear envelope family member 3///long intergenic non-protein coding RNA 341
-17393238,00	LIMCH1	LIM and calponin homology domains 1
-40020347,00	SFTPC	surfactant protein C
-12070373,00	EML1	echinoderm microtubule associated protein like 1
-12792379,00	SPTBN1	spectrin beta
-27111302,00	HBB	hemoglobin subunit beta
-0,89	SELP	selectin P
-0,89	ARRB1	arrestin beta 1
-12872973,00	WFDC1	WAP four-disulfide core domain 1
-15795917,00	SEMA3G	semaphorin 3G
-18618857,00	LIMCH1	LIM and calponin homology domains 1
-14214258,00	PCDH17	protocadherin 17
-19098705,00	ID4	inhibitor of DNA binding 4
-20182154,00	PALM2-AKAP2///AKAP2	PALM2-AKAP2 readthrough///A-kinase anchoring protein 2
-16574085,00		
-0,63	FAM65A	family with sequence similarity 65 member A
-0,91	NDRG2	NDRG family member 2
-15759944,00	MYH11	myosin heavy chain 11
-0,59	GSTM5	glutathione S-transferase mu 5
-0,98	TNS2	tensin 2
-10301871,00	SYNPO	synaptopodin
-12299555,00	CBX7	chromobox 7
-14188984,00	GAS6	growth arrest specific 6
